Count of Invoice,Type of Request,REQUEST ID,CREATED BY,CREATED ON,BRANCH NAME,SUPPLIER CODE,NAME,COUNTRY,CURRENCY,TYPE OF REQUEST,Amount,TASK START,Actioned Date,Request Received Stage,Request received date,Completed Date,Status of Request,Pending Reason,Pending With Approver/Requestor,QC Status,Audited By,Auditor Comments,Ageing-SLA-FPY,Ageing-SLA-2,Ageing of Re-work Days,Ageing of Re-work,Month,Unnamed: 28, Amount 
1.0,Check Request,221641,Monica Herrera,2023-09-07 00:00:00,5778 - Stokesview,ob94wK-401,Wise-Jordan,Germany,EUR,Payment Requested Outside of Supplier Type Terms - NOT Invoice in J&E,35821.13,2023-10-10 00:00:00,2023-11-06 00:00:00,Processor,2023-10-10 00:00:00,2023-11-06 00:00:00,COMPLETED,-,-,Pass,Prashanth,Passed,19.0,,,,Oct-23,1.0,
1.0,Check Request,866673,Jamie Arnold,2023-10-03 00:00:00,9515 - APRILFURT,PV72kt-533,Williams Ltd,United States,USD,Legal Obligations (i.e. Taxes),200,2023-10-20 00:00:00,2023-11-06 00:00:00,Processor,2023-10-20 00:00:00,2023-11-06 00:00:00,COMPLETED,-,-,Not audited,,,11.0,,,,Oct-23,1.0,
9.0,Check Request,966340,Lisa Hensley,2023-10-18 00:00:00,5977 - Montgomeryshire,bz97JB-073,Morgan-Gilmore,United States,USD,Account on Hold - Invoice NOT in J&E,37748.55,2023-10-25 00:00:00,2023-11-06 00:00:00,Processor,2023-10-25 00:00:00,2023-11-06 00:00:00,COMPLETED,-,-,Pass,Prashanth,Passed,8.0,,,,Oct-23,1.0,
1.0,Union,768948,Michele Williams,2023-10-26 00:00:00,9065 - TERESALAND,hK88ld-786,"Taylor, Yates and Simpson",United States,USD,Union,18167.24,2023-10-26 00:00:00,2023-11-02 00:00:00,AP Processing,2023-10-26 00:00:00,2023-11-02 00:00:00,COMPLETED,,,Not audited,,,5.0,,,,Oct-23,1.0,
1.0,Check Request,507641,Dylan Miller,2023-10-30 00:00:00,1671 - Michaelbury,cr22aj-854,"Hawkins, Castro and Peterson",United States,USD,Utility,396184.79,2023-10-30 00:00:00,2023-11-08 00:00:00,Processor,2023-10-30 00:00:00,2023-11-08 00:00:00,COMPLETED,-,-,Pass,Prashanth,Passed,7.0,,,,Oct-23,1.0,
1.0,Check Request,127770,Brian Ramirez,2023-10-23 00:00:00,1885 - Melissaview,Qq61uR-668,"Ross, Taylor and Hess",United States,USD,Legal Obligations (i.e. Taxes),299.59,2023-10-31 00:00:00,2023-11-06 00:00:00,Processor,2023-10-31 00:00:00,2023-11-06 00:00:00,COMPLETED,-,-,Not audited,,,4.0,,,,Oct-23,1.0,
1.0,Check Request,598311,Holly Wood,2023-10-23 00:00:00,1814 - Deborahberg,kv01ZI-562,Conner-Hamilton,United States,USD,Legal Obligations (i.e. Taxes),1328.05,2023-10-31 00:00:00,2023-11-06 00:00:00,Processor,2023-10-31 00:00:00,2023-11-06 00:00:00,COMPLETED,-,-,Not audited,,,4.0,,,,Oct-23,1.0,
1.0,AR Refund,203974,Derek Zuniga,2023-10-30 00:00:00,8417 - andrewstad,Aa48sv-190,"Douglas, Cannon and Boyer",United States,USD,AR Refund Check,13750,2023-10-31 00:00:00,2023-11-08 00:00:00,AP Check Processor,2023-10-31 00:00:00,2023-11-08 00:00:00,COMPLETED,,,Not audited,,,6.0,,,,Oct-23,1.0,
1.0,Union,980976,Lisa Jackson,2023-10-31 00:00:00,1293 - South Tyler,es98Ec-278,Cruz-Richardson,United States,USD,Union,15296.89,2023-10-31 00:00:00,2023-11-02 00:00:00,AP Processing,2023-10-31 00:00:00,2023-11-02 00:00:00,COMPLETED,,,Not audited,,,2.0,,,,Oct-23,1.0,
1.0,AR Refund,988089,Carla Gray,2023-10-31 00:00:00,9522 - New Jessicahaven,Rg56Ej-497,"Ferguson, Powell and Sanchez",United States,USD,AR Refund Check,4355,2023-11-01 00:00:00,2023-11-08 00:00:00,AP Check Processor,2023-11-01 00:00:00,2023-11-08 00:00:00,COMPLETED,,,Not audited,,,5.0,,,,Nov-23,1.0,
1.0,AR Refund,516224,Margaret Hawkins DDS,2023-10-31 00:00:00,1778 - Edwardsbury,Gg91up-269,"Hendricks, Thompson and Anderson",United States,USD,AR Refund Check,310.3,2023-11-01 00:00:00,2023-11-08 00:00:00,AP Check Processor,2023-11-01 00:00:00,2023-11-08 00:00:00,COMPLETED,,,Not audited,,,5.0,,,,Nov-23,1.0,
1.0,Union,981376,Patty Perez,2023-11-01 00:00:00,4293 - Marvintown,It34nb-533,Bautista and Sons,United States,USD,Union,720,2023-11-01 00:00:00,2023-11-02 00:00:00,AP Processing,2023-11-01 00:00:00,2023-11-02 00:00:00,COMPLETED,,,Not audited,,,1.0,,,,Nov-23,1.0,
2.0,Union,870657,Ethan Adams,2023-11-01 00:00:00,1761 - South Linda,GG92Pm-697,Garcia Ltd,United States,USD,Payment Requested Outside of Supplier Type Terms - NOT Invoice in J&E,40000,2023-11-01 00:00:00,2023-11-29 00:00:00,AP Processing,2023-11-01 00:00:00,2023-11-29 00:00:00,COMPLETED,,,Not audited,,,20.0,,,,Nov-23,1.0,
1.0,AR Refund,405415,Tommy Walter,2023-10-31 00:00:00,4291 - Joshuaton,Gv31Sj-020,"Snow, Perkins and Waters",United States,USD,AR Refund Check,2310,2023-11-01 00:00:00,2023-11-08 00:00:00,AP Check Processor,2023-11-01 00:00:00,2023-11-08 00:00:00,COMPLETED,,,Not audited,,,5.0,,,,Nov-23,1.0,
22.0,Check Request,879832,Matthew Foster,2023-11-01 00:00:00,1529 - Warrenstad,NH05am-645,Hill-Kelly,United States,USD,Payment Requested Outside of Supplier Type Terms - NOT Invoice in J&E,43511.25,2023-11-01 00:00:00,2023-11-21 00:00:00,Processor,2023-11-01 00:00:00,2023-11-21 00:00:00,COMPLETED,-,-,Pass,Prashanth,Passed,14.0,,,,Nov-23,1.0,
1.0,Union,127397,Judy Baker,2023-11-01 00:00:00,4489 - New Jason,Zw44Bw-058,"Barton, Flores and Gomez",United States,USD,Union,7294.75,2023-11-01 00:00:00,2023-11-02 00:00:00,AP Processing,2023-11-01 00:00:00,2023-11-02 00:00:00,COMPLETED,,,Pass,Prashanth,Passed,1.0,,,,Nov-23,1.0,
1.0,Union,371626,Justin Baker,2023-11-01 00:00:00,1712 - Sarashire,Vq95Sp-197,Jensen-Hall,United States,USD,Union,346536.87,2023-11-01 00:00:00,2023-11-02 00:00:00,AP Processing,2023-11-01 00:00:00,2023-11-02 00:00:00,COMPLETED,,,Pass,Prashanth,Passed,1.0,,,,Nov-23,1.0,
1.0,Union,350245,Stephanie Ross,2023-11-01 00:00:00,1923 - East Jennifer,WT95QO-044,Garcia LLC,United States,USD,Union,680259.44,2023-11-01 00:00:00,2023-11-02 00:00:00,AP Processing,2023-11-01 00:00:00,2023-11-02 00:00:00,COMPLETED,,,Pass,Prashanth,Passed,1.0,,,,Nov-23,1.0,
1.0,Union,997084,Zachary Hicks,2023-11-01 00:00:00,7824 - East Richardfurt,xr49ux-209,"Boone, Johnson and Snyder",United States,USD,Union,39766.28,2023-11-01 00:00:00,2023-11-02 00:00:00,AP Processing,2023-11-01 00:00:00,2023-11-02 00:00:00, COMPLETED ,,,Not audited,,,1.0,,,,Nov-23,1.0,
1.0,Union,932496,Anthony Rodriguez,2023-11-01 00:00:00,8475 - Theresahaven,ne49gZ-128,King Group,United States,USD,Union,27713.58,2023-11-01 00:00:00,2023-11-02 00:00:00,AP Processing,2023-11-01 00:00:00,2023-11-02 00:00:00, COMPLETED ,,,Not audited,,,1.0,,,,Nov-23,1.0,
1.0,Union,651329,Rebecca Henderson,2023-11-01 00:00:00,6766 - Lake Samanthatown,ri79lG-494,Brandt-Warren,United States,USD,Union,18525.76,2023-11-01 00:00:00,2023-11-02 00:00:00,AP Processing,2023-11-01 00:00:00,2023-11-02 00:00:00,COMPLETED,,,Not audited,,,1.0,,,,Nov-23,1.0,
1.0,Union,575938,James Ferrell,2023-11-01 00:00:00,2175 - Walkerborough,QG32Ds-995,Hunt LLC,United States,USD,Union,612,2023-11-01 00:00:00,2023-11-02 00:00:00,AP Processing,2023-11-01 00:00:00,2023-11-02 00:00:00,COMPLETED,,,Not audited,,,1.0,,,,Nov-23,1.0,
1.0,Union,432729,Tricia Valencia,2023-11-01 00:00:00,5099 - Port Nancyland,ar27Nu-963,"Raymond, Davis and Gray",United States,USD,Union,630,2023-11-01 00:00:00,2023-11-02 00:00:00,AP Processing,2023-11-01 00:00:00,2023-11-02 00:00:00,COMPLETED,,,Not audited,,,1.0,,,,Nov-23,1.0,
1.0,Check Request,129986,Nathan Maldonado,2023-11-01 00:00:00,7084 - Aaronfurt,IP50Ry-947,"Stevens, Garcia and Fleming",United States,USD,Utility,835951.91,2023-11-01 00:00:00,2023-11-08 00:00:00,Processor,2023-11-01 00:00:00,2023-11-08 00:00:00,COMPLETED,-,-,Pass,Prashanth,Passed,5.0,,,,Nov-23,1.0,
1.0,Check Request,130955,Debra Davidson,2023-11-01 00:00:00,3068 - East Lisa,Jk41GQ-638,Hamilton-Arroyo,United States,USD,Utility,113490.24,2023-11-01 00:00:00,2023-11-08 00:00:00,Processor,2023-11-01 00:00:00,2023-11-08 00:00:00,COMPLETED,-,-,Pass,Prashanth,Passed,5.0,,,,Nov-23,1.0,
1.0,Check Request,405280,Jeffrey Chavez,2023-11-01 00:00:00,8000 - Marymouth,wg10kg-592,"Gomez, Rubio and Howard",United States,USD,Utility,1173633.97,2023-11-01 00:00:00,2023-11-08 00:00:00,Processor,2023-11-01 00:00:00,2023-11-08 00:00:00,COMPLETED,-,-,Pass,Prashanth,Passed,5.0,,,,Nov-23,1.0,
1.0,Check Request,956319,Sherri Baker,2023-11-01 00:00:00,8240 - North Leahberg,kp18gf-946,Nelson PLC,United States,USD,Utility,16705.43,2023-11-01 00:00:00,2023-11-08 00:00:00,Processor,2023-11-01 00:00:00,2023-11-08 00:00:00,COMPLETED,-,-,Pass,Prashanth,Passed,5.0,,,,Nov-23,1.0,
1.0,Check Request,482183,Cassandra Gaines,2023-11-01 00:00:00,3222 - Wardbury,oO66Bo-556,"Perry, Pierce and Brandt",United States,USD,Utility,-13179.33,2023-11-01 00:00:00,2023-11-08 00:00:00,Processor,2023-11-01 00:00:00,2023-11-08 00:00:00,COMPLETED,-,-,Not audited,,,5.0,,,,Nov-23,1.0,
1.0,Union,563820,Elizabeth Fowler,2023-11-01 00:00:00,8162 - Welchchester,uL00cf-433,White-Castillo,United States,USD,Union,2746,2023-11-01 00:00:00,2023-11-02 00:00:00,AP Processing,2023-11-01 00:00:00,2023-11-02 00:00:00,COMPLETED,,,Not audited,,,1.0,,,,Nov-23,1.0,
1.0,Union,462591,Brittany Farmer,2023-11-01 00:00:00,8439 - East Patricia,QO56xW-407,Castaneda-Weaver,United States,USD,Payment Requested Outside of Supplier Type Terms - Invoice in J&E,32582,2023-11-01 00:00:00,2023-11-29 00:00:00,AP Processing,2023-11-01 00:00:00,2023-11-29 00:00:00, COMPLETED ,,,Not audited,,,20.0,,,,Nov-23,1.0,
1.0,Union,265884,Paula Moreno,2023-11-01 00:00:00,8321 - Mcdonaldchester,qy56UC-941,Tyler LLC,United States,USD,Legal Obligations (i.e. Taxes),8584.52,2023-11-01 00:00:00,2023-12-06 00:00:00,AP Processing,2023-11-01 00:00:00,2023-12-06 00:00:00,COMPLETED,,,Not audited,,,25.0,,,,Nov-23,1.0,
1.0,Union,738948,Fred Smith,2023-12-27 00:00:00,9614 - Heatherfurt,mU35RN-928,Mullen-Rogers,United States,USD,Union,480,2023-11-01 00:00:00,2023-12-28 00:00:00,AP Processing,2023-11-01 00:00:00,2023-12-28 00:00:00,COMPLETED,,,Not audited,,,41.0,,,,Nov-23,1.0,
1.0,Union,860041,Sherry Decker,2024-01-07 00:00:00,8640 - Reesebury,qS62gQ-577,Bishop Ltd,United States,USD,Union,8253.58,2023-11-01 00:00:00,2024-01-08 00:00:00,AP Processing,2023-11-01 00:00:00,2024-01-08 00:00:00,COMPLETED,,,Not audited,,,48.0,,,,Nov-23,1.0,
1.0,Union,123411,Anthony Humphrey,2024-01-09 00:00:00,8964 - Port Mercedes,Rz61Wu-656,"Harris, Smith and Kelly",Canada,CAD,Union,6614.34,2023-11-01 00:00:00,2024-01-10 00:00:00,AP Processing,2023-11-01 00:00:00,2024-01-10 00:00:00, COMPLETED ,,,Not audited,,,50.0,,,,Nov-23,1.0,
1.0,Union,903954,Angelica Tucker,2024-01-10 00:00:00,3834 - South James,np76yw-406,"Simmons, Cannon and Jones",Canada,CAD,Union,105820.2,2023-11-01 00:00:00,2024-01-11 00:00:00,AP Processing,2023-11-01 00:00:00,2024-01-11 00:00:00,COMPLETED,,,Not audited,,,51.0,,,,Nov-23,1.0,
1.0,Union,332300,Philip Cannon,2023-11-01 00:00:00,9276 - Bakermouth,hf58dB-617,"Moore, Reed and Cole",United States,USD,Payment Requested Outside of Supplier Type Terms - NOT Invoice in J&E,79077,2023-11-01 00:00:00,2024-01-12 00:00:00,AP Processing,2023-11-01 00:00:00,2024-01-12 00:00:00,COMPLETED,,,Not audited,,,52.0,,,,Nov-23,1.0,
1.0,Union,219678,John Pierce,2024-01-18 00:00:00,6026 - Port Brian,Mo96Nl-796,Smith-Newman,United States,USD,Union,44478.39,2023-11-01 00:00:00,2024-01-18 00:00:00,AP Processing,2023-11-01 00:00:00,2024-01-18 00:00:00,COMPLETED,,,Not audited,,,56.0,,,,Nov-23,1.0,
1.0,Engie,877482,Shane Henderson,2023-11-01 00:00:00,4779 - LISALAND,ts49mB-623,Mccarty Group,United States,USD,Engie Bills,25532.49,2023-11-01 00:00:00,2023-11-01 00:00:00,Engie Portal,2023-11-01 00:00:00,2023-11-01 00:00:00, COMPLETED ,,,Pass,Prashanth,Passed,0.0,,,,Nov-23,1.0,
1.0,Engie,900182,Joshua Blair,2023-11-01 00:00:00,3521 - North Andrewfort,wA92lT-851,Walters Ltd,United States,USD,Engie Bills,9438.11,2023-11-01 00:00:00,2023-11-01 00:00:00,Engie Portal,2023-11-01 00:00:00,2023-11-01 00:00:00,COMPLETED,,,Pass,Prashanth,Passed,0.0,,,,Nov-23,1.0,
2.0,Union,192966,Eric Carney,2023-11-01 00:00:00,9302 - WILLIAMSSIDE,CC83Os-794,Heath-Burns,United States,USD,Payment Requested Outside of Supplier Type Terms - NOT Invoice in J&E,8500,2023-11-01 00:00:00,2024-01-31 00:00:00,AP Processing,2023-11-01 00:00:00,2024-01-31 00:00:00,COMPLETED,,,Not audited,,,65.0,,,,Nov-23,1.0,
1.0,Union,177092,Jessica Holmes,2023-11-01 00:00:00,7987 - Lake Morganmouth,AV17dh-333,Tran-White,United States,USD,Legal Obligations (i.e. Taxes),5179.42,2023-11-01 00:00:00,2024-01-02 00:00:00,AP Processing,2023-11-01 00:00:00,2024-01-02 00:00:00,COMPLETED,,,Not audited,,,44.0,,,,Nov-23,1.0,
1.0,Union,664875,Danny Morgan,2023-11-01 00:00:00,2906 - South Kerryhaven,yX07Rc-867,Hall-Patel,United States,USD,Payment Requested Outside of Supplier Type Terms - NOT Invoice in J&E,450,2023-11-01 00:00:00,2024-01-02 00:00:00,AP Processing,2023-11-01 00:00:00,2024-01-02 00:00:00,COMPLETED,,,Not audited,,,44.0,,,,Nov-23,1.0,
1.0,Union,201663,Crystal Robinson,2023-11-01 00:00:00,5827 - Brittanymouth,nv53JS-450,Brooks Ltd,United States,USD,Utility,-6616.77,2023-11-01 00:00:00,2024-02-07 00:00:00,AP Processing,2023-11-01 00:00:00,2024-02-07 00:00:00,COMPLETED,,,Not audited,,,70.0,,,,Nov-23,1.0,
1.0,Union,542077,Mark Perez,2023-11-01 00:00:00,5676 - Knightfort,UI16OO-549,"Diaz, Wilson and Brown",United States,USD,Utility,116826.61,2023-11-01 00:00:00,2024-02-07 00:00:00,AP Processing,2023-11-01 00:00:00,2024-02-07 00:00:00, COMPLETED ,,,Not audited,,,70.0,,,,Nov-23,1.0,
1.0,Union,322123,Shannon Jones,2023-11-01 00:00:00,1125 - new james,yt06JY-184,Werner and Sons,United States,USD,Account on Hold - Invoice in J&E,105950.25,2023-11-01 00:00:00,2024-02-08 00:00:00,AP Processing,2023-11-01 00:00:00,2024-02-08 00:00:00, COMPLETED ,,,Not audited,,,71.0,,,,Nov-23,1.0,
1.0,Union,728919,Michael Lewis,2024-02-08 00:00:00,6193 - Port Mary,Cz76tB-085,Burke-Walton,United States,USD,Union,16372.84,2023-11-01 00:00:00,2024-02-09 00:00:00,AP Processing,2023-11-01 00:00:00,2024-02-09 00:00:00,COMPLETED,,,Not audited,,,72.0,,,,Nov-23,1.0,
1.0,Union,188084,Timothy Duncan,2023-11-01 00:00:00,8661 - millerview,si03IX-632,Anthony-Keller,United States,USD,Account on Hold - Invoice NOT in J&E,6157.34,2023-11-01 00:00:00,2024-02-20 00:00:00,AP Processing,2023-11-01 00:00:00,2024-02-20 00:00:00,COMPLETED,,,Not audited,,,79.0,,,,Nov-23,1.0,
1.0,Union,756400,Richard Aguirre,2023-11-01 00:00:00,8736 - West Sergio,gN66Oj-227,"Collins, Lamb and Mccarthy",United States,USD,Account on Hold - Invoice NOT in J&E,2403.85,2023-11-01 00:00:00,2024-03-04 00:00:00,AP Processing,2023-11-01 00:00:00,2024-03-04 00:00:00,COMPLETED,,,Not audited,,,88.0,,,,Nov-23,1.0,
1.0,Union,434352,Brent Jordan,2023-11-01 00:00:00,9819 - Josephfort,Vv17BA-366,"Woodard, Miller and Miller",United States,USD,Payment Requested Outside of Supplier Type Terms - NOT Invoice in J&E,1290,2023-11-01 00:00:00,2024-03-06 00:00:00,AP Processing,2023-11-01 00:00:00,2024-03-06 00:00:00,COMPLETED,,,Not audited,,,90.0,,,,Nov-23,1.0,
1.0,Union,490886,John Daniel,2023-11-01 00:00:00,6821 - Port Matthew,RX73cF-906,"Crosby, Sanford and Fisher",Canada,CAD,Utility,7973.3,2023-11-01 00:00:00,2024-03-13 00:00:00,AP Processing,2023-11-01 00:00:00,2024-03-13 00:00:00,COMPLETED,,,Not audited,,,95.0,,,,Nov-23,1.0,
1.0,Union,126026,Victoria Garcia,2023-11-01 00:00:00,7556 - elizabethburgh,Ax27TC-723,Howard Group,Canada,CAD,Utility,2212.22,2023-11-01 00:00:00,2024-03-13 00:00:00,AP Processing,2023-11-01 00:00:00,2024-03-13 00:00:00,COMPLETED,,,Not audited,,,95.0,,,,Nov-23,1.0,
1.0,Union,436594,Gerald Hensley,2023-11-01 00:00:00,4822 - Johnsonmouth,Aw61SZ-476,"Holt, Colon and Solis",United States,USD,Payment Requested Outside of Supplier Type Terms - Invoice in J&E,8640,2023-11-01 00:00:00,2024-03-14 00:00:00,AP Processing,2023-11-01 00:00:00,2024-03-14 00:00:00,COMPLETED,,,Not audited,,,96.0,,,,Nov-23,1.0,
1.0,AR Refund,103722,Connor West,2023-11-01 00:00:00,2324 - Lake Richardhaven,kk71zh-640,"Brown, Perez and Hunt",United States,USD,AR Refund Check,23100,2023-11-02 00:00:00,2023-11-06 00:00:00,AP Check Processor,2023-11-02 00:00:00,2023-11-06 00:00:00,COMPLETED,,,Not audited,,,2.0,,,,Nov-23,1.0,
1.0,AR Refund,237909,Donald Wright,2023-11-01 00:00:00,3558 - Cookfort,vU23Cl-494,"Wilcox, Ho and Todd",United States,USD,AR Refund Check,4477.3,2023-11-02 00:00:00,2023-11-06 00:00:00,AP Check Processor,2023-11-02 00:00:00,2023-11-06 00:00:00,COMPLETED,,,Not audited,,,2.0,,,,Nov-23,1.0,
1.0,Union,930535,Jessica Callahan,2023-11-02 00:00:00,4304 - South Christopherside,Br44IT-917,"Hunt, Ritter and Avila",United States,USD,Union,2394,2023-11-02 00:00:00,2023-11-06 00:00:00,,2023-11-02 00:00:00,2023-11-06 00:00:00, COMPLETED ,,,Not audited,,,2.0,,,,Nov-23,1.0,
1.0,Union,409950,Amber Kidd,2023-11-02 00:00:00,4296 - East Carolbury,Oe26bL-148,"Taylor, Kelley and Sanchez",United States,USD,Union,75065.9,2023-11-02 00:00:00,2023-11-02 00:00:00,AP Processing,2023-11-02 00:00:00,2023-11-02 00:00:00,COMPLETED,,,Pass,Prashanth,Passed,0.0,,,,Nov-23,1.0,
1.0,Union,896876,Tracy House,2023-11-02 00:00:00,2767 - Nielsenborough,Jp95nH-781,"Thomas, Gilbert and Simmons",United States,USD,Union,646919.56,2023-11-02 00:00:00,2023-11-03 00:00:00,AP Processing,2023-11-02 00:00:00,2023-11-03 00:00:00,COMPLETED,,,Pass,Prashanth,Passed,1.0,,,,Nov-23,1.0,
1.0,Union,761654,Carol Tucker,2023-11-02 00:00:00,6439 - East Jacobmouth,Vh07wz-033,Strong-Jackson,United States,USD,Union,58237.76,2023-11-02 00:00:00,2023-11-03 00:00:00,AP Processing,2023-11-02 00:00:00,2023-11-03 00:00:00,COMPLETED,,,Not audited,,,1.0,,,,Nov-23,1.0,
1.0,Check Request,412066,James Brown,2023-08-02 00:00:00,4503 - MICHAELSHIRE,pP67Qc-053,Davis-Bradford,Canada,CAD,Payment Requested Outside of Supplier Type Terms - Invoice in J&E,6300,2023-11-03 00:00:00,2023-11-13 00:00:00,Processor,2023-11-03 00:00:00,2023-11-13 00:00:00,COMPLETED,-,-,Not audited,,,6.0,,,,Nov-23,1.0,
1.0,Check Request,519345,William Baker,2023-10-17 00:00:00,9822 - Susanville,mI85Ry-198,Little-Martin,United States,USD,Payment Requested Outside of Supplier Type Terms - NOT Invoice in J&E,6750,2023-11-03 00:00:00,2023-11-06 00:00:00,Processor,2023-11-03 00:00:00,2023-11-06 00:00:00,COMPLETED,-,-,Not audited,,,1.0,,,,Nov-23,1.0,
1.0,Union,356701,Jordan Henderson,2023-11-03 00:00:00,1694 - East Tyrone,tN06JM-962,"Lopez, Hernandez and Frederick",United States,USD,Union,360,2023-11-03 00:00:00,2023-11-06 00:00:00,AP Processing,2023-11-03 00:00:00,2023-11-06 00:00:00,COMPLETED,,,Not audited,,,1.0,,,,Nov-23,1.0,
1.0,Union,758865,Whitney Peters,2023-11-03 00:00:00,6774 - Smithhaven,cm56aI-911,Harris-Ellis,United States,USD,Union,3661.77,2023-11-03 00:00:00,2023-11-06 00:00:00,AP Processing,2023-11-03 00:00:00,2023-11-06 00:00:00,COMPLETED,,,Not audited,,,1.0,,,,Nov-23,1.0,
1.0,Engie,699021,Brittney Phillips,2023-11-03 00:00:00,1274 - South Bethton,nJ97SP-586,"Sloan, Ortiz and Hampton",United States,USD,Engie Bills,28442.91,2023-11-03 00:00:00,2023-11-03 00:00:00,Engie Portal,2023-11-03 00:00:00,2023-11-03 00:00:00,COMPLETED,,,Pass,Prashanth,Passed,0.0,,,,Nov-23,1.0,
1.0,Engie,723013,Lauren Daniels,2023-11-03 00:00:00,1698 - Kirkstad,gy04ez-044,Wheeler-Davis,United States,USD,Engie Bills,23382.89,2023-11-03 00:00:00,2023-11-03 00:00:00,Engie Portal,2023-11-03 00:00:00,2023-11-03 00:00:00,COMPLETED,,,Pass,Prashanth,Passed,0.0,,,,Nov-23,1.0,
1.0,TRANS INTERNATIONAL,235106,Amy Silva,2023-11-03 00:00:00,7693 - North Loriview,mu61sH-306,"Richardson, Hensley and Evans",United States,USD,FRIGHT,9920.57,2023-11-03 00:00:00,2023-11-03 00:00:00,Trans International,2023-11-03 00:00:00,2023-11-03 00:00:00,COMPLETED,,,Pass,Prashanth,Passed,0.0,,,,Nov-23,1.0,
