count_of_invoice,type_of_request,request_id,created_by,created_on,branch_name,supplier_code,name,country,currency,sub_request_type,amount,task_start,actioned_date,request_received_stage,request_received_date,completed_date,status_of_request,pending_reason,pending_with_approver/requestor,qc_status,audited_by,auditor_comments,ageing_sla_fpy,month,,,,,
1,Check Request,221641,Monica Herrera,07-09-23,5778 - Stokesview,ob94wK-401,Wise-Jordan,Germany,EUR,Payment Requested Outside of Supplier Type Terms - NOT Invoice in J&E,35821,10-10-23,06-11-23,Processor,10-10-23,06-11-23,COMPLETED,-,-,Pass,Prashanth,Passed,19.00,Oct-23,,,,,
1,Check Request,866673,Jamie Arnold,03-10-23,9515 - APRILFURT,PV72kt-533,Williams Ltd,United States,USD,Legal Obligations (i.e. Taxes),200,20-10-23,06-11-23,Processor,20-10-23,06-11-23,COMPLETED,-,-,Not audited,Not Applicable,No Comments,11.00,Oct-23,,,,,
9,Check Request,966340,Lisa Hensley,18-10-23,5977 - Montgomeryshire,bz97JB-073,Morgan-Gilmore,United States,USD,Account on Hold - Invoice NOT in J&E,37749,25-10-23,06-11-23,Processor,25-10-23,06-11-23,COMPLETED,-,-,Pass,Prashanth,Passed,8.00,Oct-23,,,,,
1,Union,768948,Michele Williams,26-10-23,9065 - TERESALAND,hK88ld-786,"Taylor, Yates and Simpson",United States,USD,Union,18167,26-10-23,02-11-23,AP Processing,26-10-23,02-11-23,COMPLETED,No Pending Reason,No Pending Party,Not audited,Not Applicable,No Comments,5.00,Oct-23,,,,,
1,Check Request,507641,Dylan Miller,30-10-23,1671 - Michaelbury,cr22aj-854,"Hawkins, Castro and Peterson",United States,USD,Utility,396185,30-10-23,08-11-23,Processor,30-10-23,08-11-23,COMPLETED,-,-,Pass,Prashanth,Passed,7.00,Oct-23,,,,,
1,Check Request,127770,Brian Ramirez,23-10-23,1885 - Melissaview,Qq61uR-668,"Ross, Taylor and Hess",United States,USD,Legal Obligations (i.e. Taxes),300,31-10-23,06-11-23,Processor,31-10-23,06-11-23,COMPLETED,-,-,Not audited,Not Applicable,No Comments,4.00,Oct-23,,,,,
1,Check Request,598311,Holly Wood,23-10-23,1814 - Deborahberg,kv01ZI-562,Conner-Hamilton,United States,USD,Legal Obligations (i.e. Taxes),1328,31-10-23,06-11-23,Processor,31-10-23,06-11-23,COMPLETED,-,-,Not audited,Not Applicable,No Comments,4.00,Oct-23,,,,,
1,AR Refund,203974,Derek Zuniga,30-10-23,8417 - andrewstad,Aa48sv-190,"Douglas, Cannon and Boyer",United States,USD,AR Refund Check,13750,31-10-23,08-11-23,AP Check Processor,31-10-23,08-11-23,COMPLETED,No Pending Reason,No Pending Party,Not audited,Not Applicable,No Comments,6.00,Oct-23,,,,,
1,Union,980976,Lisa Jackson,31-10-23,1293 - South Tyler,es98Ec-278,Cruz-Richardson,United States,USD,Union,15297,31-10-23,02-11-23,AP Processing,31-10-23,02-11-23,COMPLETED,No Pending Reason,No Pending Party,Not audited,Not Applicable,No Comments,2.00,Oct-23,,,,,
1,AR Refund,988089,Carla Gray,31-10-23,9522 - New Jessicahaven,Rg56Ej-497,"Ferguson, Powell and Sanchez",United States,USD,AR Refund Check,4355,01-11-23,08-11-23,AP Check Processor,01-11-23,08-11-23,COMPLETED,No Pending Reason,No Pending Party,Not audited,Not Applicable,No Comments,5.00,Nov-23,,,,,
1,AR Refund,516224,Margaret Hawkins DDS,31-10-23,1778 - Edwardsbury,Gg91up-269,"Hendricks, Thompson and Anderson",United States,USD,AR Refund Check,310,01-11-23,08-11-23,AP Check Processor,01-11-23,08-11-23,COMPLETED,No Pending Reason,No Pending Party,Not audited,Not Applicable,No Comments,5.00,Nov-23,,,,,
1,Union,981376,Patty Perez,01-11-23,4293 - Marvintown,It34nb-533,Bautista and Sons,United States,USD,Union,720,01-11-23,02-11-23,AP Processing,01-11-23,02-11-23,COMPLETED,No Pending Reason,No Pending Party,Not audited,Not Applicable,No Comments,1.00,Nov-23,,,,,
2,Union,870657,Ethan Adams,01-11-23,1761 - South Linda,GG92Pm-697,Garcia Ltd,United States,USD,Payment Requested Outside of Supplier Type Terms - NOT Invoice in J&E,40000,01-11-23,29-11-23,AP Processing,01-11-23,29-11-23,COMPLETED,No Pending Reason,No Pending Party,Not audited,Not Applicable,No Comments,20.00,Nov-23,,,,,
1,AR Refund,405415,Tommy Walter,31-10-23,4291 - Joshuaton,Gv31Sj-020,"Snow, Perkins and Waters",United States,USD,AR Refund Check,2310,01-11-23,08-11-23,AP Check Processor,01-11-23,08-11-23,COMPLETED,No Pending Reason,No Pending Party,Not audited,Not Applicable,No Comments,5.00,Nov-23,,,,,
22,Check Request,879832,Matthew Foster,01-11-23,1529 - Warrenstad,NH05am-645,Hill-Kelly,United States,USD,Payment Requested Outside of Supplier Type Terms - NOT Invoice in J&E,43511,01-11-23,21-11-23,Processor,01-11-23,21-11-23,COMPLETED,-,-,Pass,Prashanth,Passed,14.00,Nov-23,,,,,
1,Union,127397,Judy Baker,01-11-23,4489 - New Jason,Zw44Bw-058,"Barton, Flores and Gomez",United States,USD,Union,7295,01-11-23,02-11-23,AP Processing,01-11-23,02-11-23,COMPLETED,No Pending Reason,No Pending Party,Pass,Prashanth,Passed,1.00,Nov-23,,,,,
1,Union,371626,Justin Baker,01-11-23,1712 - Sarashire,Vq95Sp-197,Jensen-Hall,United States,USD,Union,346537,01-11-23,02-11-23,AP Processing,01-11-23,02-11-23,COMPLETED,No Pending Reason,No Pending Party,Pass,Prashanth,Passed,1.00,Nov-23,,,,,
1,Union,350245,Stephanie Ross,01-11-23,1923 - East Jennifer,WT95QO-044,Garcia LLC,United States,USD,Union,680259,01-11-23,02-11-23,AP Processing,01-11-23,02-11-23,COMPLETED,No Pending Reason,No Pending Party,Pass,Prashanth,Passed,1.00,Nov-23,,,,,
1,Union,997084,Zachary Hicks,01-11-23,7824 - East Richardfurt,xr49ux-209,"Boone, Johnson and Snyder",United States,USD,Union,39766,01-11-23,02-11-23,AP Processing,01-11-23,02-11-23, COMPLETED ,No Pending Reason,No Pending Party,Not audited,Not Applicable,No Comments,1.00,Nov-23,,,,,
1,Union,932496,Anthony Rodriguez,01-11-23,8475 - Theresahaven,ne49gZ-128,King Group,United States,USD,Union,27714,01-11-23,02-11-23,AP Processing,01-11-23,02-11-23, COMPLETED ,No Pending Reason,No Pending Party,Not audited,Not Applicable,No Comments,1.00,Nov-23,,,,,
1,Union,651329,Rebecca Henderson,01-11-23,6766 - Lake Samanthatown,ri79lG-494,Brandt-Warren,United States,USD,Union,18526,01-11-23,02-11-23,AP Processing,01-11-23,02-11-23,COMPLETED,No Pending Reason,No Pending Party,Not audited,Not Applicable,No Comments,1.00,Nov-23,,,,,
1,Union,575938,James Ferrell,01-11-23,2175 - Walkerborough,QG32Ds-995,Hunt LLC,United States,USD,Union,612,01-11-23,02-11-23,AP Processing,01-11-23,02-11-23,COMPLETED,No Pending Reason,No Pending Party,Not audited,Not Applicable,No Comments,1.00,Nov-23,,,,,
1,Union,432729,Tricia Valencia,01-11-23,5099 - Port Nancyland,ar27Nu-963,"Raymond, Davis and Gray",United States,USD,Union,630,01-11-23,02-11-23,AP Processing,01-11-23,02-11-23,COMPLETED,No Pending Reason,No Pending Party,Not audited,Not Applicable,No Comments,1.00,Nov-23,,,,,
1,Check Request,129986,Nathan Maldonado,01-11-23,7084 - Aaronfurt,IP50Ry-947,"Stevens, Garcia and Fleming",United States,USD,Utility,835952,01-11-23,08-11-23,Processor,01-11-23,08-11-23,COMPLETED,-,-,Pass,Prashanth,Passed,5.00,Nov-23,,,,,
1,Check Request,130955,Debra Davidson,01-11-23,3068 - East Lisa,Jk41GQ-638,Hamilton-Arroyo,United States,USD,Utility,113490,01-11-23,08-11-23,Processor,01-11-23,08-11-23,COMPLETED,-,-,Pass,Prashanth,Passed,5.00,Nov-23,,,,,
1,Check Request,405280,Jeffrey Chavez,01-11-23,8000 - Marymouth,wg10kg-592,"Gomez, Rubio and Howard",United States,USD,Utility,1173634,01-11-23,08-11-23,Processor,01-11-23,08-11-23,COMPLETED,-,-,Pass,Prashanth,Passed,5.00,Nov-23,,,,,
1,Check Request,956319,Sherri Baker,01-11-23,8240 - North Leahberg,kp18gf-946,Nelson PLC,United States,USD,Utility,16705,01-11-23,08-11-23,Processor,01-11-23,08-11-23,COMPLETED,-,-,Pass,Prashanth,Passed,5.00,Nov-23,,,,,
1,Check Request,482183,Cassandra Gaines,01-11-23,3222 - Wardbury,oO66Bo-556,"Perry, Pierce and Brandt",United States,USD,Utility,13179,01-11-23,08-11-23,Processor,01-11-23,08-11-23,COMPLETED,-,-,Not audited,Not Applicable,No Comments,5.00,Nov-23,,,,,
1,Union,563820,Elizabeth Fowler,01-11-23,8162 - Welchchester,uL00cf-433,White-Castillo,United States,USD,Union,2746,01-11-23,02-11-23,AP Processing,01-11-23,02-11-23,COMPLETED,No Pending Reason,No Pending Party,Not audited,Not Applicable,No Comments,1.00,Nov-23,,,,,
1,Union,462591,Brittany Farmer,01-11-23,8439 - East Patricia,QO56xW-407,Castaneda-Weaver,United States,USD,Payment Requested Outside of Supplier Type Terms - Invoice in J&E,32582,01-11-23,29-11-23,AP Processing,01-11-23,29-11-23, COMPLETED ,No Pending Reason,No Pending Party,Not audited,Not Applicable,No Comments,20.00,Nov-23,,,,,
1,Union,265884,Paula Moreno,01-11-23,8321 - Mcdonaldchester,qy56UC-941,Tyler LLC,United States,USD,Legal Obligations (i.e. Taxes),8585,01-11-23,06-12-23,AP Processing,01-11-23,06-12-23,COMPLETED,No Pending Reason,No Pending Party,Not audited,Not Applicable,No Comments,25.00,Nov-23,,,,,
1,Union,738948,Fred Smith,27-12-23,9614 - Heatherfurt,mU35RN-928,Mullen-Rogers,United States,USD,Union,480,01-11-23,28-12-23,AP Processing,01-11-23,28-12-23,COMPLETED,No Pending Reason,No Pending Party,Not audited,Not Applicable,No Comments,41.00,Nov-23,,,,,
1,Union,860041,Sherry Decker,07-01-24,8640 - Reesebury,qS62gQ-577,Bishop Ltd,United States,USD,Union,8254,01-11-23,08-01-24,AP Processing,01-11-23,08-01-24,COMPLETED,No Pending Reason,No Pending Party,Not audited,Not Applicable,No Comments,48.00,Nov-23,,,,,
1,Union,123411,Anthony Humphrey,09-01-24,8964 - Port Mercedes,Rz61Wu-656,"Harris, Smith and Kelly",Canada,CAD,Union,6614,01-11-23,10-01-24,AP Processing,01-11-23,10-01-24, COMPLETED ,No Pending Reason,No Pending Party,Not audited,Not Applicable,No Comments,50.00,Nov-23,,,,,
1,Union,903954,Angelica Tucker,10-01-24,3834 - South James,np76yw-406,"Simmons, Cannon and Jones",Canada,CAD,Union,105820,01-11-23,11-01-24,AP Processing,01-11-23,11-01-24,COMPLETED,No Pending Reason,No Pending Party,Not audited,Not Applicable,No Comments,51.00,Nov-23,,,,,
1,Union,332300,Philip Cannon,01-11-23,9276 - Bakermouth,hf58dB-617,"Moore, Reed and Cole",United States,USD,Payment Requested Outside of Supplier Type Terms - NOT Invoice in J&E,79077,01-11-23,12-01-24,AP Processing,01-11-23,12-01-24,COMPLETED,No Pending Reason,No Pending Party,Not audited,Not Applicable,No Comments,52.00,Nov-23,,,,,
1,Union,219678,John Pierce,18-01-24,6026 - Port Brian,Mo96Nl-796,Smith-Newman,United States,USD,Union,44478,01-11-23,18-01-24,AP Processing,01-11-23,18-01-24,COMPLETED,No Pending Reason,No Pending Party,Not audited,Not Applicable,No Comments,56.00,Nov-23,,,,,
1,Engie,877482,Shane Henderson,01-11-23,4779 - LISALAND,ts49mB-623,Mccarty Group,United States,USD,Engie Bills,25532,01-11-23,01-11-23,Engie Portal,01-11-23,01-11-23, COMPLETED ,No Pending Reason,No Pending Party,Pass,Prashanth,Passed,0.00,Nov-23,,,,,
1,Engie,900182,Joshua Blair,01-11-23,3521 - North Andrewfort,wA92lT-851,Walters Ltd,United States,USD,Engie Bills,9438,01-11-23,01-11-23,Engie Portal,01-11-23,01-11-23,COMPLETED,No Pending Reason,No Pending Party,Pass,Prashanth,Passed,0.00,Nov-23,,,,,
2,Union,192966,Eric Carney,01-11-23,9302 - WILLIAMSSIDE,CC83Os-794,Heath-Burns,United States,USD,Payment Requested Outside of Supplier Type Terms - NOT Invoice in J&E,8500,01-11-23,31-01-24,AP Processing,01-11-23,31-01-24,COMPLETED,No Pending Reason,No Pending Party,Not audited,Not Applicable,No Comments,65.00,Nov-23,,,,,
1,Union,177092,Jessica Holmes,01-11-23,7987 - Lake Morganmouth,AV17dh-333,Tran-White,United States,USD,Legal Obligations (i.e. Taxes),5179,01-11-23,02-01-24,AP Processing,01-11-23,02-01-24,COMPLETED,No Pending Reason,No Pending Party,Not audited,Not Applicable,No Comments,44.00,Nov-23,,,,,
1,Union,664875,Danny Morgan,01-11-23,2906 - South Kerryhaven,yX07Rc-867,Hall-Patel,United States,USD,Payment Requested Outside of Supplier Type Terms - NOT Invoice in J&E,450,01-11-23,02-01-24,AP Processing,01-11-23,02-01-24,COMPLETED,No Pending Reason,No Pending Party,Not audited,Not Applicable,No Comments,44.00,Nov-23,,,,,
1,Union,201663,Crystal Robinson,01-11-23,5827 - Brittanymouth,nv53JS-450,Brooks Ltd,United States,USD,Utility,6617,01-11-23,07-02-24,AP Processing,01-11-23,07-02-24,COMPLETED,No Pending Reason,No Pending Party,Not audited,Not Applicable,No Comments,70.00,Nov-23,,,,,
1,Union,542077,Mark Perez,01-11-23,5676 - Knightfort,UI16OO-549,"Diaz, Wilson and Brown",United States,USD,Utility,116827,01-11-23,07-02-24,AP Processing,01-11-23,07-02-24, COMPLETED ,No Pending Reason,No Pending Party,Not audited,Not Applicable,No Comments,70.00,Nov-23,,,,,
1,Union,322123,Shannon Jones,01-11-23,1125 - new james,yt06JY-184,Werner and Sons,United States,USD,Account on Hold - Invoice in J&E,105950,01-11-23,08-02-24,AP Processing,01-11-23,08-02-24, COMPLETED ,No Pending Reason,No Pending Party,Not audited,Not Applicable,No Comments,71.00,Nov-23,,,,,
1,Union,728919,Michael Lewis,08-02-24,6193 - Port Mary,Cz76tB-085,Burke-Walton,United States,USD,Union,16373,01-11-23,09-02-24,AP Processing,01-11-23,09-02-24,COMPLETED,No Pending Reason,No Pending Party,Not audited,Not Applicable,No Comments,72.00,Nov-23,,,,,
1,Union,188084,Timothy Duncan,01-11-23,8661 - millerview,si03IX-632,Anthony-Keller,United States,USD,Account on Hold - Invoice NOT in J&E,6157,01-11-23,20-02-24,AP Processing,01-11-23,20-02-24,COMPLETED,No Pending Reason,No Pending Party,Not audited,Not Applicable,No Comments,79.00,Nov-23,,,,,
1,Union,756400,Richard Aguirre,01-11-23,8736 - West Sergio,gN66Oj-227,"Collins, Lamb and Mccarthy",United States,USD,Account on Hold - Invoice NOT in J&E,2404,01-11-23,04-03-24,AP Processing,01-11-23,04-03-24,COMPLETED,No Pending Reason,No Pending Party,Not audited,Not Applicable,No Comments,88.00,Nov-23,,,,,
1,Union,434352,Brent Jordan,01-11-23,9819 - Josephfort,Vv17BA-366,"Woodard, Miller and Miller",United States,USD,Payment Requested Outside of Supplier Type Terms - NOT Invoice in J&E,1290,01-11-23,06-03-24,AP Processing,01-11-23,06-03-24,COMPLETED,No Pending Reason,No Pending Party,Not audited,Not Applicable,No Comments,90.00,Nov-23,,,,,
1,Union,490886,John Daniel,01-11-23,6821 - Port Matthew,RX73cF-906,"Crosby, Sanford and Fisher",Canada,CAD,Utility,7973,01-11-23,13-03-24,AP Processing,01-11-23,13-03-24,COMPLETED,No Pending Reason,No Pending Party,Not audited,Not Applicable,No Comments,95.00,Nov-23,,,,,
1,Union,126026,Victoria Garcia,01-11-23,7556 - elizabethburgh,Ax27TC-723,Howard Group,Canada,CAD,Utility,2212,01-11-23,13-03-24,AP Processing,01-11-23,13-03-24,COMPLETED,No Pending Reason,No Pending Party,Not audited,Not Applicable,No Comments,95.00,Nov-23,,,,,
1,Union,436594,Gerald Hensley,01-11-23,4822 - Johnsonmouth,Aw61SZ-476,"Holt, Colon and Solis",United States,USD,Payment Requested Outside of Supplier Type Terms - Invoice in J&E,8640,01-11-23,14-03-24,AP Processing,01-11-23,14-03-24,COMPLETED,No Pending Reason,No Pending Party,Not audited,Not Applicable,No Comments,96.00,Nov-23,,,,,
1,AR Refund,103722,Connor West,01-11-23,2324 - Lake Richardhaven,kk71zh-640,"Brown, Perez and Hunt",United States,USD,AR Refund Check,23100,02-11-23,06-11-23,AP Check Processor,02-11-23,06-11-23,COMPLETED,No Pending Reason,No Pending Party,Not audited,Not Applicable,No Comments,2.00,Nov-23,,,,,
1,AR Refund,237909,Donald Wright,01-11-23,3558 - Cookfort,vU23Cl-494,"Wilcox, Ho and Todd",United States,USD,AR Refund Check,4477,02-11-23,06-11-23,AP Check Processor,02-11-23,06-11-23,COMPLETED,No Pending Reason,No Pending Party,Not audited,Not Applicable,No Comments,2.00,Nov-23,,,,,
1,Union,930535,Jessica Callahan,02-11-23,4304 - South Christopherside,Br44IT-917,"Hunt, Ritter and Avila",United States,USD,Union,2394,02-11-23,06-11-23,Unknown Stage,02-11-23,06-11-23, COMPLETED ,No Pending Reason,No Pending Party,Not audited,Not Applicable,No Comments,2.00,Nov-23,,,,,
1,Union,409950,Amber Kidd,02-11-23,4296 - East Carolbury,Oe26bL-148,"Taylor, Kelley and Sanchez",United States,USD,Union,75066,02-11-23,02-11-23,AP Processing,02-11-23,02-11-23,COMPLETED,No Pending Reason,No Pending Party,Pass,Prashanth,Passed,0.00,Nov-23,,,,,
1,Union,896876,Tracy House,02-11-23,2767 - Nielsenborough,Jp95nH-781,"Thomas, Gilbert and Simmons",United States,USD,Union,646920,02-11-23,03-11-23,AP Processing,02-11-23,03-11-23,COMPLETED,No Pending Reason,No Pending Party,Pass,Prashanth,Passed,1.00,Nov-23,,,,,
1,Union,761654,Carol Tucker,02-11-23,6439 - East Jacobmouth,Vh07wz-033,Strong-Jackson,United States,USD,Union,58238,02-11-23,03-11-23,AP Processing,02-11-23,03-11-23,COMPLETED,No Pending Reason,No Pending Party,Not audited,Not Applicable,No Comments,1.00,Nov-23,,,,,
1,Check Request,412066,James Brown,02-08-23,4503 - MICHAELSHIRE,pP67Qc-053,Davis-Bradford,Canada,CAD,Payment Requested Outside of Supplier Type Terms - Invoice in J&E,6300,03-11-23,13-11-23,Processor,03-11-23,13-11-23,COMPLETED,-,-,Not audited,Not Applicable,No Comments,6.00,Nov-23,,,,,
1,Check Request,519345,William Baker,17-10-23,9822 - Susanville,mI85Ry-198,Little-Martin,United States,USD,Payment Requested Outside of Supplier Type Terms - NOT Invoice in J&E,6750,03-11-23,06-11-23,Processor,03-11-23,06-11-23,COMPLETED,-,-,Not audited,Not Applicable,No Comments,1.00,Nov-23,,,,,
1,Union,356701,Jordan Henderson,03-11-23,1694 - East Tyrone,tN06JM-962,"Lopez, Hernandez and Frederick",United States,USD,Union,360,03-11-23,06-11-23,AP Processing,03-11-23,06-11-23,COMPLETED,No Pending Reason,No Pending Party,Not audited,Not Applicable,No Comments,1.00,Nov-23,,,,,
1,Union,758865,Whitney Peters,03-11-23,6774 - Smithhaven,cm56aI-911,Harris-Ellis,United States,USD,Union,3662,03-11-23,06-11-23,AP Processing,03-11-23,06-11-23,COMPLETED,No Pending Reason,No Pending Party,Not audited,Not Applicable,No Comments,1.00,Nov-23,,,,,
1,Engie,699021,Brittney Phillips,03-11-23,1274 - South Bethton,nJ97SP-586,"Sloan, Ortiz and Hampton",United States,USD,Engie Bills,28443,03-11-23,03-11-23,Engie Portal,03-11-23,03-11-23,COMPLETED,No Pending Reason,No Pending Party,Pass,Prashanth,Passed,0.00,Nov-23,,,,,
1,Engie,723013,Lauren Daniels,03-11-23,1698 - Kirkstad,gy04ez-044,Wheeler-Davis,United States,USD,Engie Bills,23383,03-11-23,03-11-23,Engie Portal,03-11-23,03-11-23,COMPLETED,No Pending Reason,No Pending Party,Pass,Prashanth,Passed,0.00,Nov-23,,,,,
1,TRANS INTERNATIONAL,235106,Amy Silva,03-11-23,7693 - North Loriview,mu61sH-306,"Richardson, Hensley and Evans",United States,USD,FRIGHT,9921,03-11-23,03-11-23,Trans International,03-11-23,03-11-23,COMPLETED,No Pending Reason,No Pending Party,Pass,Prashanth,Passed,0.00,Nov-23,,,,,
1,Union,404690,Sarah Moore,05-11-23,3322 - South Barrymouth,OZ53WY-961,Mayo-Wilkerson,United States,USD,Union,75179,05-11-23,07-11-23,AP Processing,05-11-23,07-11-23, COMPLETED ,No Pending Reason,No Pending Party,Pass,Prashanth,Passed,1.00,Nov-23,,,,,
1,Union,350703,Angela Lopez,06-11-23,4586 - Port Amanda,Ja04uP-808,"Ellis, Hudson and Schultz",United States,USD,Union,342,06-11-23,07-11-23,AP Processing,06-11-23,07-11-23,COMPLETED,No Pending Reason,No Pending Party,Not audited,Not Applicable,No Comments,1.00,Nov-23,,,,,
1,Union,489221,Megan Young,06-11-23,8313 - Scottview,xH74Tq-987,"Dyer, Petersen and Curtis",United States,USD,Union,190673,06-11-23,07-11-23,AP Processing,06-11-23,07-11-23,COMPLETED,No Pending Reason,No Pending Party,Pass,Prashanth,Passed,1.00,Nov-23,,,,,
1,Union,879427,Steve Sanchez,06-11-23,9535 - Port Alex,GD02en-493,Kidd-Leonard,Canada,CAD,Union,20152,06-11-23,07-11-23,AP Processing,06-11-23,07-11-23,COMPLETED,No Pending Reason,No Pending Party,Pass,Prashanth,Passed,1.00,Nov-23,,,,,
1,Union,829016,Lisa Barnes,06-11-23,9771 - Zacharystad,KS89ov-927,Adams Group,Canada,CAD,Union,82935,06-11-23,07-11-23,AP Processing,06-11-23,07-11-23,COMPLETED,No Pending Reason,No Pending Party,Pass,Prashanth,Passed,1.00,Nov-23,,,,,
1,Union,452183,Kelly Donovan,06-11-23,9454 - LEWISMOUTH,VX44Nb-458,"Lopez, Byrd and Woods",Canada,CAD,Union,82935,06-11-23,07-11-23,AP Processing,06-11-23,07-11-23,COMPLETED,No Pending Reason,No Pending Party,Pass,Prashanth,Passed,1.00,Nov-23,,,,,
1,Engie,177436,Mike Allen,06-11-23,5392 - Hannahtown,LV57Mu-301,Williams Inc,United States,USD,Engie Bills,8297,06-11-23,06-11-23,Engie Portal,06-11-23,06-11-23,COMPLETED,No Pending Reason,No Pending Party,Pass,Prashanth,Passed,0.00,Nov-23,,,,,
1,Engie,712854,Michael Evans,06-11-23,1862 - Natalieberg,YR26CO-145,Thompson LLC,United States,USD,Engie Bills,8277,06-11-23,06-11-23,Engie Portal,06-11-23,06-11-23,COMPLETED,No Pending Reason,No Pending Party,Pass,Prashanth,Passed,0.00,Nov-23,,,,,
1,AR Refund,316734,Paul Jones,05-11-23,3359 - lopezton,Bo82Bn-456,Wilkinson and Sons,United States,USD,AR Refund Check,973,07-11-23,08-11-23,AP Check Processor,07-11-23,08-11-23,COMPLETED,No Pending Reason,No Pending Party,Not audited,Not Applicable,No Comments,1.00,Nov-23,,,,,
1,AR Refund,550732,Zachary Ferrell,06-11-23,5816 - east davidmouth,fA05mC-128,Green Ltd,United States,USD,AR Refund Check,4803,07-11-23,08-11-23,AP Check Processor,07-11-23,08-11-23,COMPLETED,No Pending Reason,No Pending Party,Not audited,Not Applicable,No Comments,1.00,Nov-23,,,,,
1,AR Refund,823211,Daniel Baker,06-11-23,5608 - Port Elizabeth,Dp99mW-631,"Frost, Simmons and Day",United States,USD,AR Refund Check,14289,07-11-23,08-11-23,AP Check Processor,07-11-23,08-11-23,COMPLETED,No Pending Reason,No Pending Party,Not audited,Not Applicable,No Comments,1.00,Nov-23,,,,,
1,AR Refund,536851,Shirley Suarez,06-11-23,6979 - Laraview,Op38zK-568,Brown Inc,United States,USD,AR Refund Check,443,07-11-23,08-11-23,AP Check Processor,07-11-23,08-11-23, COMPLETED ,No Pending Reason,No Pending Party,Not audited,Not Applicable,No Comments,1.00,Nov-23,,,,,
1,AR Refund,884653,Christopher Bass,06-11-23,7172 - LAKE STACY,vR57cT-001,Cannon-Whitney,United States,USD,AR Refund Check,17,07-11-23,08-11-23,AP Check Processor,07-11-23,08-11-23,COMPLETED,No Pending Reason,No Pending Party,Not audited,Not Applicable,No Comments,1.00,Nov-23,,,,,
